,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
221,AAPL,2025-12-01 15:36:00+00:00,277.74,277.98,277.7,277.84,39112.0,1436.0,277.89549
222,AAPL,2025-12-01 15:37:00+00:00,277.84,277.8625,277.62,277.66,33471.0,1434.0,277.765003
223,AAPL,2025-12-01 15:38:00+00:00,277.66,277.72,277.62,277.69,29313.0,1408.0,277.680653
224,AAPL,2025-12-01 15:39:00+00:00,277.68,277.78,277.61,277.64,48914.0,1552.0,277.706717
225,AAPL,2025-12-01 15:40:00+00:00,277.64,277.7701,277.33,277.33,60802.0,1828.0,277.588973
226,AAPL,2025-12-01 15:41:00+00:00,277.33,277.45,277.3,277.43,49879.0,1708.0,277.398211
227,AAPL,2025-12-01 15:42:00+00:00,277.43,277.54,277.35,277.53,31128.0,1586.0,277.460844
228,AAPL,2025-12-01 15:43:00+00:00,277.53,277.5306,277.42,277.505,30120.0,1544.0,277.469195
229,AAPL,2025-12-01 15:44:00+00:00,277.49,277.49,277.35,277.4,24802.0,1485.0,277.414982
230,AAPL,2025-12-01 15:45:00+00:00,277.43,277.565,277.43,277.46,33312.0,1528.0,277.497391
231,AAPL,2025-12-01 15:46:00+00:00,277.47,277.6196,277.47,277.54,26036.0,1383.0,277.548963
232,AAPL,2025-12-01 15:47:00+00:00,277.535,277.65,277.44,277.65,42838.0,1539.0,277.550956
233,AAPL,2025-12-01 15:48:00+00:00,277.6353,277.72,277.62,277.638,31832.0,1393.0,277.67347
234,AAPL,2025-12-01 15:49:00+00:00,277.62,277.7464,277.585,277.74,41066.0,1480.0,277.666297
235,AAPL,2025-12-01 15:50:00+00:00,277.7515,277.83,277.66,277.7901,47379.0,1612.0,277.754798
236,AAPL,2025-12-01 15:51:00+00:00,277.83,277.975,277.81,277.9593,36726.0,1686.0,277.882432
237,AAPL,2025-12-01 15:52:00+00:00,277.99,278.195,277.99,278.1795,39409.0,1666.0,278.115248
238,AAPL,2025-12-01 15:53:00+00:00,278.19,278.2699,278.08,278.155,83822.0,2093.0,278.166765
239,AAPL,2025-12-01 15:54:00+00:00,278.17,278.2,278.09,278.135,34383.0,1562.0,278.148894
240,AAPL,2025-12-01 15:55:00+00:00,278.15,278.3,278.07,278.21,40817.0,1676.0,278.194165
241,AAPL,2025-12-01 15:56:00+00:00,278.208,278.25,278.13,278.185,42342.0,1631.0,278.177809
242,AAPL,2025-12-01 15:57:00+00:00,278.17,278.2,278.1201,278.155,36008.0,1490.0,278.160026
243,AAPL,2025-12-01 15:58:00+00:00,278.16,278.28,278.15,278.24,36619.0,1600.0,278.213326
244,AAPL,2025-12-01 15:59:00+00:00,278.27,278.305,278.06,278.06,57140.0,1761.0,278.204762
245,AAPL,2025-12-01 16:00:00+00:00,278.06,278.15,278.05,278.06,28267.0,1631.0,278.089275
246,AAPL,2025-12-01 16:01:00+00:00,278.06,278.26,278.05,278.23,30916.0,1546.0,278.157589
247,AAPL,2025-12-01 16:02:00+00:00,278.21,278.29,278.2,278.29,25648.0,1586.0,278.247141
248,AAPL,2025-12-01 16:03:00+00:00,278.28,278.44,278.26,278.32,64661.0,2157.0,278.337236
249,AAPL,2025-12-01 16:04:00+00:00,278.34,278.49,278.34,278.4101,42611.0,1775.0,278.439546
250,AAPL,2025-12-01 16:05:00+00:00,278.44,278.48,278.39,278.405,29909.0,1727.0,278.437535
251,AAPL,2025-12-01 16:06:00+00:00,278.39,278.43,278.13,278.135,44464.0,1756.0,278.281505
252,AAPL,2025-12-01 16:07:00+00:00,278.085,278.085,277.945,277.98,40856.0,1692.0,278.015876
253,AAPL,2025-12-01 16:08:00+00:00,277.97,278.03,277.89,277.94,45129.0,1762.0,277.967781
